Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,Diverted
2002,5,2,4,1844.0,1835,2111.0,2106,UA,1072,N398UA,87.0,91,68.0,5.0,9.0,DEN,TUL,541,5,14,0,0
2002,2,2,6,1514.0,1527,1706.0,1717,MQ,3498,-N254M,112.0,110,99.0,-11.0,-13.0,BTR,DFW,383,7,6,0,0
2002,7,24,3,1804.0,1805,2014.0,2018,UA,1588,N460UA,130.0,133,115.0,-4.0,-1.0,TPA,IAD,810,4,11,0,0
2002,10,27,7,936.0,935,1153.0,1201,AA,1356,N2ARAA,77.0,86,65.0,-8.0,1.0,ORD,BUF,473,5,7,0,0
2002,6,12,3,907.0,905,1036.0,1042,DL,193,N922DL,89.0,97,61.0,-6.0,2.0,CVG,ATL,373,7,21,0,0
2002,2,14,4,1404.0,1410,1459.0,1512,US,130,N183äæ,55.0,62,38.0,-13.0,-6.0,PIT,BWI,210,4,13,0,0
2002,12,19,4,555.0,545,803.0,800,US,1242,N708UW,128.0,135,112.0,3.0,10.0,BOS,CLT,728,3,13,0,0
2002,2,12,2,910.0,910,1010.0,1020,WN,2037,N615@@,60.0,70,39.0,-10.0,0.0,LAS,LAX,236,5,16,0,0
2002,12,26,4,2013.0,1950,2100.0,2040,WN,1024,N632,47.0,50,35.0,20.0,23.0,ORF,BWI,159,5,7,0,0
2002,10,3,4,1613.0,1625,1800.0,1818,US,83,N187UW,107.0,113,89.0,-18.0,-12.0,PBI,CLT,590,4,14,0,0
2002,7,10,3,1815.0,1745,2024.0,2002,UA,1414,N329UA,69.0,77,45.0,22.0,30.0,ORD,CMH,296,2,22,0,0
2002,4,8,1,1413.0,1405,1525.0,1518,US,1175,N558AU,72.0,73,51.0,7.0,8.0,PIT,ALB,367,3,18,0,0
2002,5,29,3,1125.0,1130,1211.0,1227,UA,615,N482UA,106.0,117,91.0,-16.0,-5.0,DCA,ORD,612,6,9,0,0
2002,3,16,6,922.0,919,1009.0,1005,AA,1069,N2BAAA,107.0,106,88.0,4.0,3.0,DFW,ELP,551,3,16,0,0
2002,12,11,3,1626.0,1624,1729.0,1800,AA,1827,N2CTAA,123.0,156,99.0,-31.0,2.0,EWR,ORD,719,8,16,0,0
2002,8,6,2,1601.0,1605,1730.0,1724,US,1018,N385US,89.0,79,57.0,6.0,-4.0,PIT,ORF,330,4,28,0,0
2002,9,2,1,2024.0,2025,2120.0,2124,CO,1687,N18119,56.0,59,32.0,-4.0,-1.0,IAH,SAT,191,5,19,0,0
2002,9,15,7,817.0,823,1341.0,1347,AA,1684,N439AA,204.0,204,183.0,-6.0,-6.0,PHX,ORD,1440,6,15,0,0
2002,12,20,5,1732.0,1610,1827.0,1717,US,502,N586US,115.0,127,100.0,70.0,82.0,CLT,MKE,651,3,12,0,0
2002,9,14,6,1659.0,1700,1908.0,1918,UA,951,N531UA,309.0,318,290.0,-10.0,-1.0,IAD,SAN,2253,2,17,0,0
2002,9,26,4,1120.0,1115,1219.0,1230,MQ,3462,N373MQ,59.0,75,48.0,-11.0,5.0,SHV,DFW,190,7,4,0,0
2002,3,11,1,1355.0,1355,1905.0,1905,WN,159,N748,190.0,190,180.0,0.0,0.0,LAX,MCI,1363,3,7,0,0
2002,11,11,1,1325.0,1310,1651.0,1610,CO,1520,N72825,146.0,120,98.0,41.0,15.0,IAH,ATL,689,5,43,0,0
2002,2,12,2,919.0,917,1210.0,1159,NW,1264,N985äâ,171.0,162,135.0,11.0,2.0,MSP,MSY,1040,3,33,0,0
2002,10,30,3,1413.0,1415,1459.0,1515,MQ,4644,N701MQ,46.0,60,34.0,-16.0,-2.0,BOS,BGR,201,3,9,0,0
2002,2,6,3,1913.0,1920,2127.0,2149,AA,1763,N3CKA1,254.0,269,233.0,-22.0,-7.0,MIA,DEN,1709,7,14,0,0
