Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,Diverted
2003,7,27,7,1735.0,1735,1930.0,1910,MQ,4544,N722MQ,115.0,95.0,82.0,20.0,0.0,BOS,PHL,280,10,23,0,0
2003,12,21,7,1544.0,1540,1749.0,1751,HP,548,N913AW,65.0,71.0,48.0,-2.0,4.0,LAS,PHX,256,4,13,0,0
2003,5,19,1,1101.0,1103,1250.0,1253,AA,517,N2ANAA,109.0,110.0,91.0,-3.0,-2.0,ORD,TUL,585,3,15,0,0
2003,10,18,6,1652.0,1700,1757.0,1815,UA,1253,N945UA,125.0,135.0,112.0,-18.0,-8.0,PHL,ORD,678,2,11,0,0
2003,9,22,1,1256.0,1300,1551.0,1600,UA,452,N334UA,115.0,120.0,90.0,-9.0,-4.0,ORD,PHL,678,9,16,0,0
2003,6,6,5,1030.0,1035,1127.0,1142,US,1260,N518AU,117.0,127.0,92.0,-15.0,-5.0,CLT,ORD,599,3,22,0,0
2003,8,5,2,2039.0,2039,2159.0,2145,MQ,3223,N847MQ,80.0,66.0,49.0,14.0,0.0,LAX,SJC,308,15,16,0,0
2003,11,3,1,1850.0,1900,1952.0,2012,DH,7833,N710BR,62.0,72.0,46.0,-20.0,-10.0,BUF,IAD,284,7,8,0,0
2003,7,11,5,2137.0,2147,2352.0,2353,AS,600,N799AS,135.0,126.0,111.0,-1.0,-10.0,PDX,LAS,762,13,11,0,0
2003,11,7,5,851.0,850,1004.0,957,UA,742,N395UA,73.0,67.0,57.0,7.0,1.0,RNO,SFO,192,5,11,0,0
2003,9,3,3,1115.0,1115,1221.0,1215,OO,6499,N561SW,66.0,60.0,139.0,6.0,0.0,SFO,FAT,158,2,24,0,0
2003,6,3,2,953.0,1003,1034.0,1056,MQ,3566,N284MQ,41.0,53.0,25.0,-22.0,-10.0,SPS,DFW,113,9,7,0,0
2003,7,28,1,1555.0,1555,1633.0,1645,OO,3744,N589SW,98.0,110.0,176.0,-12.0,0.0,DFW,ABQ,569,5,16,0,0
2003,3,20,4,1402.0,1355,1538.0,1535,WN,2171,N789,96.0,100.0,81.0,3.0,7.0,RDU,MCO,534,4,11,0,0
2003,9,12,5,1425.0,1425,1650.0,1700,FL,530,N982AT,85.0,95.0,59.0,-10.0,0.0,MEM,ATL,332,6,20,0,0
2003,10,5,7,842.0,845,1143.0,1200,UA,51,N547UA,361.0,375.0,346.0,-17.0,-3.0,BOS,LAX,2611,5,10,0,0
2003,7,1,2,1206.0,1206,1734.0,1733,HP,5,N649AW,208.0,207.0,178.0,1.0,0.0,PHX,ORD,1440,9,21,0,0
2003,2,22,6,1420.0,1410,1540.0,1535,WN,529,N513,80.0,85.0,68.0,5.0,10.0,LAS,OAK,407,5,7,0,0
2003,2,22,6,600.0,550,822.0,720,EV,4594,N707EV,142.0,90.0,119.0,62.0,10.0,SRQ,ATL,445,7,16,0,0
2003,7,11,5,1506.0,1510,1556.0,1602,OO,3600,N224SW,46.0,52.0,35.0,-6.0,0.0,SLC,PIH,150,1,14,0,0
